,a,b,ca,cb,taxo,geom,mixed,prec,rec,f1,acc,model,hsize,gsize,cos,euc,neuc,taxcos,taxeuc,taxneuc
7898,dbo:RoadJunction,dbo:RugbyClub,191,2331,4.366666666666666,0.4649013513490261,2.415784009007846,0.9583333333333334,1.0,0.9787234042553192,0.975609756097561,TransH_50d_120e,353.0697858842189,667.248829148467,0.8210207396614211,4.634545898737006,1.2814216633578668,0.8451307163104282,0.7210915892271853,0.899367543248855
7899,dbo:RoadJunction,dbo:OrganisationMember,191,318392,4.116666666666666,0.524618323195173,2.32064249493092,0.9740259740259741,1.0,0.986842105263158,0.9837398373983741,TransH_50d_120e,381.7709796191259,7798.260831749604,0.8334589554299832,4.306439474786567,1.2910917515265776,0.8245376755776443,0.6762886895357109,0.8762651588806264
7900,dbo:RoadJunction,dbo:ClassicalMusicComposition,191,10,4.116666666666666,0.4586159283836175,2.287641297525142,0.6666666666666666,1.0,0.8,0.9803921568627452,TransH_50d_120e,19.004975124378106,43.70354676682432,0.8626938036454388,4.213782324211032,1.313540104941938,0.8382062459730422,0.6710941029468699,0.8839399333222095
7901,dbo:RoadJunction,dbo:Planet,191,3248,2.1166666666666663,0.3201166174550482,1.2183916420608571,0.9,0.935064935064935,0.9171974522292992,0.8943089430894309,TransH_50d_120e,360.7839488223321,787.6344329700166,0.9027824550664368,5.092533879366931,1.3437131055894607,0.6456818385240274,0.5090914597577603,0.6829880497331705
7902,dbo:RoadJunction,dbo:SportsTeamMember,191,318392,4.366666666666666,0.524618323195173,2.44564249493092,1.0,1.0,1.0,1.0,TransH_50d_120e,381.7709796191259,7798.260831749604,0.8158695546636352,3.901521579710209,1.277395439684701,0.8427223119895626,0.6799964522274047,0.8979910343365458
7903,dbo:RoadJunction,dbo:MilitaryPerson,191,30032,4.116666666666666,0.6049243773973032,2.3607955220319847,1.0,1.0,1.0,1.0,TransH_50d_120e,379.58587830460243,2395.0181627703787,0.8434750561031272,4.036347237912021,1.29882643652116,0.8292206407885219,0.6611466578338527,0.8789095382527676
7904,dbo:RoadJunction,dbo:ProtectedArea,191,8456,1.7833333333333332,0.21644328824917194,0.9998883107912526,0.7530864197530864,0.8840579710144928,0.8133333333333332,0.7723577235772358,TransH_50d_120e,373.56216028680467,1270.864272847419,0.7550498404928279,3.8631609538045395,1.228861131692941,0.5413991111620875,0.40495853772887025,0.6085105171362146
7905,dbo:RoadJunction,dbo:Ligament,191,102,3.783333333333333,0.4317725794640646,2.107552956398699,0.92,0.8518518518518519,0.8846153846153846,0.9189189189189191,TransH_50d_120e,132.9829351535836,139.5779352190023,0.7053734405220786,5.462578153445495,1.1877486607208434,0.7294408267558266,0.7058933852712568,0.8057223505889235
7906,dbo:RoadJunction,dbo:Mountain,191,17539,2.1166666666666663,0.3123453740360496,1.214506020351358,0.9220779220779219,0.8765432098765432,0.8987341772151898,0.8699186991869918,TransH_50d_120e,377.88482797518327,1830.2865895809878,0.6700588830075319,4.347157908622598,1.1576345563324653,0.5368733882829929,0.4673038589387987,0.6193704263137493
7907,dbo:RoadJunction,dbo:Venue,191,4360,1.1166666666666665,0.15135115877139127,0.6340089127190289,0.7887323943661971,0.7,0.7417218543046357,0.6829268292682927,TransH_50d_120e,365.9679191386508,912.5568475443047,0.7807853350386554,4.736838924061066,1.249628212740618,0.48300904542928474,0.3835165273780196,0.5451879531300483
7908,dbo:RoadJunction,dbo:Manga,191,3659,4.366666666666666,0.474592760259541,2.420629713463104,0.9714285714285714,0.9855072463768116,0.9784172661870504,0.975609756097561,TransH_50d_120e,363.04883116883116,835.9838515186765,0.9323854239736843,6.130536221449148,1.3655661272700668,0.8971985777840066,0.8049604673345625,0.9281353450152061
7909,dbo:RoadJunction,dbo:SupremeCourtOfTheUnitedStatesCase,191,31,4.366666666666666,0.35867786840679994,2.3626722675367327,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9107142857142856,TransH_50d_120e,53.34234234234235,76.94803441284257,0.6787948029838936,3.345130004223014,1.1651564727399437,0.7786338693556889,0.6488037790422545,0.8596181194541606
7910,dbo:RoadJunction,dbo:MixedMartialArtsEvent,191,1020,4.366666666666666,0.36254852957931816,2.3646075981229924,0.927710843373494,0.9746835443037974,0.9506172839506172,0.934959349593496,TransH_50d_120e,321.75061932287366,441.3841863954801,0.8741775759197883,4.117198449188477,1.3222538152108225,0.8699838625638099,0.692087825281249,0.9133274782889672
7911,dbo:RoadJunction,dbo:Organisation,191,283838,3.783333333333333,0.4385378367955366,2.1109355850644347,0.986842105263158,0.9615384615384616,0.9740259740259741,0.9674796747967479,TransH_50d_120e,381.74311778022667,7362.951717891404,0.8502984219615295,4.910420220561576,1.3040693401514578,0.7971995952042844,0.6749380604499655,0.8454907452236418
7912,dbo:RoadJunction,dbo:Plant,191,57013,4.116666666666666,0.4360224454300089,2.276344556048337,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9674796747967479,TransH_50d_120e,380.7245297531641,3299.9216657369325,0.8374490909353474,4.95121435331778,1.2941785741815905,0.8264032384716364,0.7124363469591865,0.8773204998751326
7913,dbo:RoadJunction,dbo:PoloLeague,191,32,4.366666666666666,0.5100266242897062,2.438346645478186,1.0,0.8333333333333334,0.9090909090909092,0.9642857142857144,TransH_50d_120e,54.81614349775785,78.17928114276828,0.7712678401889611,4.282867864527226,1.2419885991336321,0.8218690594069061,0.7013756580902046,0.8858859364752205
7914,dbo:RoadJunction,dbo:ArchitecturalStructure,191,189747,0.7833333333333332,0.11771196049074067,0.4505226469120369,0.5957446808510638,0.7671232876712328,0.6706586826347305,0.5528455284552846,TransH_50d_120e,381.6158641240825,6020.106062188609,0.7935285325940089,4.294206360900696,1.2597845312544593,0.4537557801215978,0.32349019518109146,0.5134489871364014
7915,dbo:RoadJunction,dbo:RacingDriver,191,4390,4.566666666666666,0.5565961046575766,2.5616313856621216,0.987012987012987,1.0,0.9934640522875816,0.9918699186991871,TransH_50d_120e,366.07290984501196,915.6909959151064,0.6797509831072914,4.027209483935495,1.1659768291928372,0.8002076859540799,0.7081695842538914,0.8810253482826809
7916,dbo:RoadJunction,dbo:Presenter,191,528,4.116666666666666,0.5408347946990709,2.3287507306828688,0.9722222222222222,1.0,0.9859154929577464,0.9837398373983741,TransH_50d_120e,280.5229485396384,317.5657412253406,0.9674002054019247,5.633416957096288,1.3909710316192245,0.8871610690906364,0.7506822942438631,0.9104124716886234
7917,dbo:RoadJunction,dbo:Fungus,191,10974,4.116666666666666,0.4323748025499316,2.274520734608299,0.9722222222222222,1.0,0.9859154929577464,0.9837398373983741,TransH_50d_120e,375.46511419614865,1447.7686279236748,0.881989977785323,5.717976030248815,1.3281490712908117,0.8472280514788915,0.7554228827967655,0.8889345322345541
7918,dbo:RoadJunction,dbo:Agent,191,1527235,3.283333333333333,0.4707758789249529,1.8770546061291429,1.0,0.927536231884058,0.962406015037594,0.9593495934959351,TransH_50d_120e,381.9522320557591,17079.28233269773,0.8446914793932446,5.103349308297444,1.2997626547899002,0.7417612028740153,0.6329372357881559,0.7912014490194904
